#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
filtered_barcode04_extracted_plasmids.fastq	1e3111d9-a96f-4985-a77b-1a00b4ca5dcb	3356	4383	+	blaCFE-1_1	100-1146/1146	.=======/======	35/61	87.87	67.88	resfinder	AB107899	blaCFE-1	
filtered_barcode04_extracted_plasmids.fastq	1e44c3e0-6a5e-4660-bb6d-c71bdc653be7	3501	4732	-	mdf(A)_1	1-1232/1233	========/======	37/64	97.32	90.43	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	1e64d7d9-1186-466a-ba3f-1d5783c26d35	1433	1774	+	tet(34)_1	66-413/465	.=======/=====.	8/14	72.69	70.74	resfinder	AB061440	tet(34)	
filtered_barcode04_extracted_plasmids.fastq	1e837370-d30b-46d4-80d8-1d0a53a75aef	1809	2990	-	mdf(A)_1	3-1233/1233	========/======	53/117	93.11	82.37	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	1eab0059-ba99-4a6b-8bf4-b84f2249cbc5	3215	4436	-	mdf(A)_1	1-1231/1233	========/======	46/77	96.35	88.46	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	1ec9c273-205e-4348-95be-b1dbb8c910da	4064	4852	-	mdf(A)_1	358-1160/1233	....====/======	31/62	62.04	82.71	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	1ed2cb8a-97c0-42cc-bb30-d007137dcce6	1399	2461	-	mdf(A)_1	140-1224/1233	.=======/======	36/54	84.91	88.37	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	1ee1ff73-d8a1-4443-8166-2808b24f7eab	1975	3140	-	mdf(A)_1	1-1226/1233	========/======	29/86	93.51	87.25	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	1ef7652f-d6cd-4d6e-8725-8673f24895b5	353	1582	-	mdf(A)_1	1-1229/1233	========/======	49/81	96.43	88.82	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	1f0ee4ba-b2c1-4f4d-9806-823206520cf0	3336	3682	+	tet(34)_1	66-421/465	.=======/=====.	12/17	73.76	71.11	resfinder	AB061440	tet(34)	
filtered_barcode04_extracted_plasmids.fastq	1f34871e-35ae-4389-bd29-c753ce8322b9	1	1074	-	mdf(A)_1	1-1095/1233	========/=====.	49/97	84.02	85.00	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	1f754e6c-4e7f-45b6-b239-46600b3b1d03	123	1577	+	lsa(A)_1	2-1494/1497	========/======	63/112	94.72	89.02	resfinder	AY225127	lsa(A)	Lincomycin;Clindamycin;Dalfopristin;Pristinamycin_IIA;Virginiamycin_M
filtered_barcode04_extracted_plasmids.fastq	2002a4e0-e1ca-4ecc-8d8b-aaf793368839	1885	3107	+	mdf(A)_1	1-1233/1233	========/======	27/52	97.49	91.15	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	201ac991-b61a-4e34-82f5-8fa00fe68117	2	773	+	mdf(A)_1	460-1233/1233	.....===/======	22/38	61.15	89.65	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	203ab5bb-6997-444e-b5cc-a6b0fef3f2b1	1544	2751	-	mdf(A)_1	1-1226/1233	========/======	56/108	94.32	83.24	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	2087abd0-8669-4b66-a020-d1ba1f8685ec	2613	3829	-	mdf(A)_1	1-1233/1233	========/======	37/72	96.43	90.40	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	20a3bb4d-9455-46e9-a97d-dc13462da765	230	1440	-	mdf(A)_1	2-1223/1233	========/======	55/99	94.65	87.05	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	20ad1988-6848-499c-ad3d-57f938d89f6c	252	1429	+	mdf(A)_1	15-1233/1233	========/======	40/69	94.40	87.75	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	20ff4c92-6a3f-4e0a-927f-e3810879674f	3739	4663	+	blaCMY-104_1	133-1083/1146	.=======/======	37/78	78.45	69.70	resfinder	KF150216	blaCMY-104	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	210359ef-a449-4d0f-85a0-b0bc2046ccd8	2150	3352	-	mdf(A)_1	1-1228/1233	========/======	58/93	94.81	87.56	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	210f3b87-a0ca-4ff5-898e-cb55dafb2dd6	206	1411	+	mdf(A)_1	1-1233/1233	========/======	47/117	94.16	83.49	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	214c075a-233a-4e88-96dc-81ccb61f1ca2	2621	3840	+	mdf(A)_1	6-1233/1233	========/======	51/94	95.46	87.33	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	21506ed2-6ab1-4784-b5a9-d4d9e3ea8e63	2794	3740	+	blaCMY-104_1	135-1103/1146	.=======/======	41/68	80.63	68.55	resfinder	KF150216	blaCMY-104	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	215e30aa-ff56-42ae-aa54-719cf4082885	1854	2840	+	blaCFE-1_1	136-1100/1146	.=======/======	35/58	82.64	66.67	resfinder	AB107899	blaCFE-1	
filtered_barcode04_extracted_plasmids.fastq	21786a4b-52f9-4c51-aa70-52710f21d2e8	2213	3404	-	mdf(A)_1	5-1223/1233	========/======	66/143	91.97	78.39	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	21990094-3f9f-45e1-8dde-f8f75184da25	2577	3717	+	mdf(A)_1	1-1134/1233	========/=====.	40/71	89.38	89.00	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	21b11b23-506f-4381-b2a1-1491e95e4a05	3375	3728	-	tet(34)_1	66-417/465	.=======/=====.	11/16	74.19	70.08	resfinder	AB061440	tet(34)	
filtered_barcode04_extracted_plasmids.fastq	21fc0017-944f-41e0-8309-60129cb19dae	1647	2877	+	mdf(A)_1	5-1233/1233	========/======	35/54	97.57	90.61	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	2236d6df-b91e-45b5-a605-1ac2ff3ee958	2921	3933	+	blaCMY-104_1	76-1097/1146	========/======	44/83	85.17	67.89	resfinder	KF150216	blaCMY-104	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	22403add-552e-43ff-ad82-3d7473c35073	3455	3804	-	tet(34)_1	66-417/465	.=======/=====.	6/10	74.41	73.31	resfinder	AB061440	tet(34)	
filtered_barcode04_extracted_plasmids.fastq	2280731a-ae67-4fe2-b686-71b3f5c5334a	3374	4615	+	mdf(A)_1	1-1230/1233	========/======	52/92	96.51	87.83	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	229c523f-474e-40ae-9aee-74efca64d994	2003	3229	-	mdf(A)_1	1-1233/1233	========/======	32/50	97.73	92.83	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	22c9cfcf-4d82-4235-b738-c8edf2693605	1892	2974	+	blaCMY-104_1	37-1130/1146	========/======	32/67	92.06	68.98	resfinder	KF150216	blaCMY-104	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	22d4a3d1-ff9f-410a-bd92-844039e5f42b	3990	4998	-	blaCMY-104_1	76-1103/1146	========/======	31/57	86.39	68.48	resfinder	KF150216	blaCMY-104	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	22dc573d-2f50-4c3a-a9d8-d73187187b47	1524	2560	+	blaCMY-104_1	37-1103/1146	========/======	36/84	88.13	68.56	resfinder	KF150216	blaCMY-104	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	22f9866a-88ea-4053-8d58-9a05c4d3cd96	2380	3559	-	mdf(A)_1	11-1223/1233	========/======	56/93	93.27	84.07	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	22f9a1eb-7b2f-4623-bcfe-e4cf57cc574a	336	1323	-	blaCMY-33_1	76-1094/1140	========/======	35/73	84.82	68.36	resfinder	EU496816	blaCMY-33	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	233fe668-d66b-4e5c-a026-c14491fc20fa	4892	5784	-	mdf(A)_1	351-1233/1233	...=====/======	38/62	69.51	85.85	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	234cab64-8c4e-43d0-ac03-50e3a73a7c21	4	1171	+	mdf(A)_1	64-1224/1233	========/======	32/51	92.38	90.25	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	235a8af9-c8e2-472d-baa9-6a4b222a651a	428	1455	-	blaCMY-104_1	76-1130/1146	========/======	39/85	87.17	67.07	resfinder	KF150216	blaCMY-104	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	237423a9-cc3d-4d37-8fa0-5c04c15bf340	61	864	-	blaOXA-48_1	6-798/798	========/======	22/31	98.12	93.37	resfinder	AY236073	blaOXA-48	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam
filtered_barcode04_extracted_plasmids.fastq	2384e359-83c4-4427-85e8-d192398187e8	273	1373	-	mdf(A)_1	45-1219/1233	========/======	47/136	86.78	82.67	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	238e6f16-624c-43c2-bde7-ff94db5d35d1	587	930	-	tet(34)_1	69-421/465	..======/=====.	8/13	73.55	71.27	resfinder	AB061440	tet(34)	
filtered_barcode04_extracted_plasmids.fastq	23a28d7d-bf8b-4ce0-bba3-c9bd325f54ed	48	947	-	blaCMY-101_1	37-944/1146	========/====..	34/70	75.83	68.16	resfinder	KF526114	blaCMY-101	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	23edb101-e597-4c7f-950c-d608702ce859	210	1240	+	blaCMY-124_1	37-1097/1146	========/======	43/92	87.26	67.22	resfinder	KM985462	blaCMY-124	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	23fd2a18-1fe7-4bf8-aa4d-41bd79d16589	198	1239	-	blaCMY-64_1	37-1100/1146	========/======	36/78	88.48	67.77	resfinder	HQ832678	blaCMY-64	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	24186bdd-0f06-4ff6-a6e5-90eb5d047367	1624	3115	-	lsa(A)_1	1-1497/1497	========/======	65/107	96.26	89.08	resfinder	AY225127	lsa(A)	Lincomycin;Clindamycin;Dalfopristin;Pristinamycin_IIA;Virginiamycin_M
filtered_barcode04_extracted_plasmids.fastq	244bdaf7-98c0-4dc1-83f6-9ec152840ccb	1443	1751	+	tet(34)_1	1-320/465	========/==....	12/19	65.59	71.61	resfinder	AB061440	tet(34)	
filtered_barcode04_extracted_plasmids.fastq	24530eae-ba0b-4b80-82f9-8dbb7424ee44	1488	2732	+	mdf(A)_1	1-1233/1233	========/======	54/92	96.76	86.23	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	245342a8-bffd-4f54-bf3a-00c144859bdf	2384	3654	+	mdf(A)_1	1-1233/1233	========/======	57/140	95.86	80.18	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	24724b71-1a5d-475b-a3af-977aebb17e5a	2925	3877	+	blaCMY-128_1	135-1097/1146	.=======/======	47/100	79.23	68.06	resfinder	KM985466	blaCMY-128	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	247a8371-64c9-4cc0-b8a5-8e493a704e1f	168	1129	+	blaCMY-128_1	133-1091/1146	.=======/======	35/71	80.72	68.07	resfinder	KM985466	blaCMY-128	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	249cde47-3c21-4f51-ae22-4da062aec21b	2286	2747	-	dfrA14_5	1-479/483	========/======	17/33	94.00	89.53	resfinder	DQ388123	dfrA14	Trimethoprim
filtered_barcode04_extracted_plasmids.fastq	24a5230e-6226-4fa4-9054-34fc81f3c7e1	2208	2994	+	blaACT-10_1	317-1094/1146	...=====/======	39/75	65.01	65.73	resfinder	JN848330	blaACT-10	
filtered_barcode04_extracted_plasmids.fastq	24bf0c66-8a9b-4624-9691-a252b3f116c6	684	1929	+	mdf(A)_1	4-1233/1233	========/======	36/60	97.97	89.98	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	24e0f589-3347-48d1-99c3-2c07cdae8dc7	2897	4143	-	mdf(A)_1	1-1220/1233	========/======	53/95	96.19	85.40	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	24e64c56-dd8e-4925-ab2d-7aa785789ba4	4583	5791	+	mdf(A)_1	30-1233/1233	========/======	51/79	94.65	85.95	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	24ef6da6-e1f9-46a1-9c38-75c8d4d4b77e	2293	2634	-	tet(34)_1	77-420/465	..======/=====.	14/24	71.18	71.55	resfinder	AB061440	tet(34)	
filtered_barcode04_extracted_plasmids.fastq	24f67e1e-f35a-4bea-884b-dfd03f169c39	1782	2739	-	blaCMY-20_1	138-1097/1143	.=======/======	26/42	82.06	69.90	resfinder	AY960293	blaCMY-20	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	254ae8f3-38d6-4bf2-be17-a9ad0d53a7a8	2312	3292	-	blaCMY-122_1	133-1129/1146	.=======/======	49/90	82.37	66.54	resfinder	KM985460	blaCMY-122	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	2574e070-ec94-458e-a6fc-e563de261aa5	1981	2386	+	tet(34)_1	1-413/465	========/=====.	14/27	85.16	69.03	resfinder	AB061440	tet(34)	
filtered_barcode04_extracted_plasmids.fastq	25b365e1-b81c-4e79-b9a6-068ac84070e1	383	1553	-	mdf(A)_1	1-1233/1233	========/======	43/100	93.43	87.22	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	25d0d194-733a-40c4-b44d-2f666be43d66	1210	2350	-	mdf(A)_1	2-1226/1233	========/======	59/158	89.54	77.18	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	260eb8b8-c4ff-46cf-9639-910cf4d7a5a9	2306	3512	-	mdf(A)_1	15-1232/1233	========/======	40/73	95.38	88.71	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	263ac34e-b369-4330-a972-292f75f0c49b	3443	4381	-	blaCFE-1_1	178-1130/1146	..======/======	29/58	80.02	68.72	resfinder	AB107899	blaCFE-1	
filtered_barcode04_extracted_plasmids.fastq	2662ff8f-c7b8-45f0-8aac-1bc8bdc89c24	1123	2175	-	blaCMY-104_1	37-1087/1146	========/======	42/68	88.83	67.68	resfinder	KF150216	blaCMY-104	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	2667f481-163d-4ca2-91c3-727370597bdb	1127	2359	+	mdf(A)_1	6-1224/1233	========/======	47/84	96.03	87.38	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	266dbbb2-26f7-48b1-b31e-8ab926bb4719	2570	3801	-	mdf(A)_1	1-1233/1233	========/======	38/59	97.57	90.89	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	267018d4-fe21-45bf-9cc9-99c168505afd	4129	5136	+	blaCFE-1_1	76-1097/1146	========/======	44/98	84.29	65.13	resfinder	AB107899	blaCFE-1	
filtered_barcode04_extracted_plasmids.fastq	26797883-a3c3-4ec9-bf48-5b9af330d827	3143	4340	+	mdf(A)_1	5-1230/1233	========/======	30/68	95.54	88.60	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	267da548-bfcb-4f27-9b6f-8c69ef928d7d	2	883	+	mdf(A)_1	364-1233/1233	....====/======	23/48	69.10	88.33	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	267e73f6-ef0c-4205-b76a-e73b23e8a5fe	705	1063	+	tet(34)_1	66-421/465	.=======/=====.	10/15	75.27	72.33	resfinder	AB061440	tet(34)	
filtered_barcode04_extracted_plasmids.fastq	26b5a6cc-a040-44ce-9ad9-1204624694d6	3248	4457	-	mdf(A)_1	10-1232/1233	========/======	35/53	96.51	90.67	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	26e61e01-14ec-4e13-b4fc-1576abe03462	168	512	+	tet(34)_1	77-421/465	..======/=====.	8/12	72.90	73.22	resfinder	AB061440	tet(34)	
filtered_barcode04_extracted_plasmids.fastq	2748fa40-7941-404d-a244-4d9a62d711b6	3909	5122	+	mdf(A)_1	1-1233/1233	========/======	60/109	94.81	85.92	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	276b0c46-1da1-46be-8e58-d2669f61f25e	870	1203	+	tet(34)_1	76-421/465	..======/=====.	9/20	70.97	70.57	resfinder	AB061440	tet(34)	
filtered_barcode04_extracted_plasmids.fastq	278ddfdb-bf27-439b-a6a6-c1fe69db4323	4629	5419	+	blaCFE-1_1	144-944/1146	.=======/====..	32/68	66.49	67.11	resfinder	AB107899	blaCFE-1	
filtered_barcode04_extracted_plasmids.fastq	279108a8-0880-4936-8b17-8862407636da	2354	3597	+	mdf(A)_1	1-1233/1233	========/======	35/55	98.22	90.44	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	27a48e39-1345-4ab3-a2e9-a37277b5b60a	925	1879	+	blaCMY-104_1	133-1079/1146	.=======/======	28/66	80.10	68.90	resfinder	KF150216	blaCMY-104	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	27a7dada-d16b-4e2e-b5d0-7393ccbcdaab	2861	3648	-	blaCFE-1_1	133-925/1146	.=======/====..	33/67	66.06	67.96	resfinder	AB107899	blaCFE-1	
filtered_barcode04_extracted_plasmids.fastq	27aef0ee-7aa5-4bea-b5f9-9f8548926af8	1314	2259	+	blaCMY-104_1	160-1103/1146	.=======/======	34/58	79.93	67.66	resfinder	KF150216	blaCMY-104	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	27b2b420-3d6f-46c4-860d-723e70971ad0	826	2080	+	mdf(A)_1	1-1233/1233	========/======	44/72	97.97	89.22	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	27df3b8a-6cb5-4df1-a934-bf0f02a93391	407	1410	+	blaCFE-1_1	133-1146/1146	.=======/======	23/46	86.04	69.09	resfinder	AB107899	blaCFE-1	
filtered_barcode04_extracted_plasmids.fastq	27f59626-f8ff-4603-b779-6e2157e45f57	4538	5281	+	blaCMY-26_1	142-882/1146	.=======/===...	27/47	62.74	69.06	resfinder	AB300358	blaCMY-26	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	27fbbcc1-82f0-4e2e-b6d8-4d6e8c9d2c82	2664	3737	-	mdf(A)_1	2-1220/1233	========/======	68/215	84.27	73.76	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	285d3bab-f657-4fb2-8d32-1c4a6c8e5e74	1350	2296	+	blaCMY-89_1	135-1087/1146	.=======/======	44/90	78.97	66.23	resfinder	HE819403	blaCMY-89	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	286a7bea-4575-4ecc-973d-eb3bdfff416e	911	1982	-	blaCFE-1_1	37-1121/1146	========/======	30/69	91.10	68.01	resfinder	AB107899	blaCFE-1	
filtered_barcode04_extracted_plasmids.fastq	289f3f58-0e5b-4441-bc05-ad1d3aa707d4	764	1914	-	mdf(A)_1	1-1208/1233	========/======	64/169	88.81	78.88	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	28a0bdfb-a53f-40ed-857a-6bb98d28e783	2	757	-	blaCMY-83_1	133-893/1146	.=======/===...	28/61	63.53	69.45	resfinder	JX440351	blaCMY-83	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	28b73f6c-5113-42e8-9daf-c1feafbfdf90	43	979	-	blaCFE-1_1	169-1097/1146	..======/======	33/68	78.45	69.18	resfinder	AB107899	blaCFE-1	
filtered_barcode04_extracted_plasmids.fastq	292f6cf5-d65b-4085-8d89-59c3cec3ab52	3773	4890	+	mdf(A)_1	1-1118/1233	========/=====.	38/62	88.16	89.56	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	296caf00-c8ee-43e6-8337-fd09c74a5baa	3255	4313	-	blaCMY-82_1	76-1138/1146	========/======	35/66	89.70	69.10	resfinder	KJ207203	blaCMY-82	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	296e4fc1-6624-4db4-8922-9eaf2cd0e97d	480	1418	+	blaCMY-64_1	170-1130/1146	..======/======	27/60	80.28	68.88	resfinder	HQ832678	blaCMY-64	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	2978258b-2520-4c9b-8e0c-9f8c1e40d5d8	2136	3331	-	mdf(A)_1	1-1231/1233	========/======	53/105	94.16	84.91	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	2981131f-a514-4814-a24c-5f7d0a35abd9	1986	2913	+	blaCMY-104_1	148-1104/1146	.=======/======	34/81	78.71	66.53	resfinder	KF150216	blaCMY-104	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	298a5f79-edc9-4e3e-b412-eebff0802f57	2265	2615	+	tet(34)_1	66-421/465	.=======/=====.	9/13	74.62	70.00	resfinder	AB061440	tet(34)	
filtered_barcode04_extracted_plasmids.fastq	298d14d1-fca5-41f3-adbc-40882d3e2124	3837	5044	-	mdf(A)_1	5-1223/1233	========/======	36/55	96.19	90.49	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	29b60e01-c032-40a4-86e0-2587c4d67491	2223	2569	+	tet(34)_1	66-421/465	.=======/=====.	11/19	73.55	70.64	resfinder	AB061440	tet(34)	
filtered_barcode04_extracted_plasmids.fastq	29d1ed80-7723-461a-88e7-2b7cdb8971f1	4106	5102	+	blaCFE-1_1	76-1077/1146	========/======	49/109	82.46	65.56	resfinder	AB107899	blaCFE-1	
